一	a
𦑪	aeyy
形狀	aezg
𠙻	aezi
𡂤	aezo
型態	aezq
形態	aezq
刊出	aezz
末	af
一模一樣	afaf
一板一眼	afal
兩棲類	afau
一本正經	afaz
平板玻璃	afcc
一柱擎天	afea
一枝草一點露	afea
末著	afeb
末葉	afee
一木難支	afee
兩極觀點	afel
一本萬利	afem
末期	afeq
末世	afev
末梢	affk
一轉眼	affl
天機不可洩漏	afga
可想而知	afgm
𩑷	afgo
一概而論	afgs
死要面子	afgy
一整天	afja
天靈蓋	afje
吞雲吐霧	afjf
哥本哈根	afjf
𩈘	afjk
末路	afjr
百靈鳥	afjr
唜	afjr
末日	afka
列車員	afkj
𣞄	aflk
正相反	aflp
瓦楞紙	aflz
末稍	afmk
末年	afmm
兩棲動物	afmm
𡘮	afmo
憂鬱症	afmt
末節	afmx
末季	afmy
末代	afnh
兩棲作戰	afnj
末學	afno
末位	afns
天雨順延	afny
𣖢	afoe
膥	afoo
末後	afoz
死板板	afpf
一枝獨秀	afqm
𩿣	afrz
一較高下	afsa
副校長	afsc
𠅍	afsh
一霎時	afsk
末端	afsl
一霎那	afsy
兩棲部隊	afsy
末席	afte
末座	afto
末次	aftr
一相情願	afug
兩相情願	afug
末	afv
下雨天	afva
末流	afvs
正本清源	afvv
末	afvv
一本初衷	afws
末尾	afxm
𪜑	afyd
兩極化	afyn
末了	afyv
𣚺	afyz
殲擊機	afzf
天	ag
一而再再而三	agaa
天干	agae
幵	agae
天天	agag
天頂	agag
𡙎	agag
𡚌	agag
天下	agai
吞下	agai
頂下	agai
𡗣	agai
頂頭	agaj
可大可小	agak
可有可無	agam
可不可行	agao
一石兩鳥	agar
天平	agau
死硬派	agav
可不可以	agaz
頂夸克	agbe
正面攻擊	agbf
天工	agbi
天臺	agbj
天井	agbn
頂替	agbo
一石二鳥	agbr
天壇	agbs
天壤	agbs
䵡	agbu
天地	agbv
吞聲	agbx
天王	agca
兩碼事	agcd
天理	agck
天青	agcq
天職	agcs
天璇	agcs
𤤋	agcs
天璣	agcz
天	agd
一大早	agdk
天擇	agdl
天才	agdm
頂撞	agds
武大郎	agds
一大半	agdu
天葬	agea
頂蓋	ageb
栞	agef
𩒖	ageg
天朝	agek
天幕	agek
頂戴	agek
𠛬	agek
天真	agel
頂真	agel
𥅝	agel
𧵭	agel
天花	agen
郉	agey
兩不相干	agfa
天權	agfe
天樞	agfh
𡘸	agfj
𢆞	agfj
頂樓	agfk
天車	agfk
天橋	agfm
天塹	agfp
天棚	agfq
頂棚	agfq
死不要臉	agfq
兩不相欠	agfr
天機	agfz
天大	aggd
頂大	aggd
𣓁	aggf
𣓢	aggf
蝅	aggi
殘而不廢	aggt
天有不測風雲	aggv
吞到	aghk
蚕	agi
䘉	agi
𡗘	agi
𡗶	agia
下不來	agif
蠺	agii
䗞	agii
䘉	agii
可不是	agik
殊不知	agim
形而上學	agin
天上	agiv
頂上	agiv
㪪	agix
死不了	agiy
吞	agj
吞吐	agjb
正面的	agjd
吞嚥	agje
天國	agjh
頂嘴	agji
吞咽	agjj
平面圖	agjj
兩面光	agjk
𩇺	agjk
吞噬	agjm
頂踵	agjm
一面倒	agjn
兩面倒	agjn
平面鏡	agjp
死不足惜	agju
兩面派	agjv
天啊	agjy
昋	agk
天日	agka
䪞	agka
𩐄	agka
天時	agkb
䨿	agkc
𩇳	agkc
天光	agkg
頂尖	agkg
𤰳	agki
正大光明	agkk
𤾄	agkn
天明	agkq
奣	agkq
天水	agkv
沗	agkv
天堂	agkw
一不小心	agkw
天數	agkz
天賦	agla
天罡	agla
形而下	agla
天黑	aglb
頂點	aglb
形而上	agli
天賜	aglk
天體	aglk
頂罪	aglk
天山	agll
死不瞑目	agll
𠔬	aglo
頂峰	aglr
天眼	aglx
天助	agly
天秤	agma
頂拜	agma
天牛	agmb
天竺	agmb
天生	agmc
忝不知恥	agmc
天籟	agmf
天鵝	agmh
天算	agml
天年	agmm
天物	agmr
死而無怨	agmr
死而無憾	agmu
死而無悔	agmu
頭破血流	agmv
天氣	agmy
天師	agmy
天使	agna
一不做二不休	agnb
天皇	agnc
𡗤	agnd
天價	agnf
天候	agni
兩面作戰	agnj
天泉	agnk
天仙	agnl
天份	agno
天倫	agno
頂住	agns
吞併	agnu
頂	ago
天命	agoa
死而復甦	agoa
天人	agod
死有餘辜	agoe
天父	agoo
天不從人願	agoo
死灰復燃	agou
吞食	agox
天分	agoy
死而後已	agoy
天公	agoz
天后	agpa
天兵	agpo
頂盤	agpq
𦙖	agq
頂風	agqi
天狗	agqr
𢡰	agqw
吞服	agqy
无	agr
𡯊	agr
天然	agrg
天象	agrj
頂名	agrj
頂角	agrl
𣄳	agrm
𡕠	agrs
頂多	agrv
一不留神	agrw
天色	agry
鴌	agrz
天主	agsc
天龍	agsi
天亮	agsj
頂部	agsj
天意	agsk
頂端	agsl
天文	agso
頂讓	agss
天敵	agsu
天譴	agsw
天良	agsx
天府	agtn
天姿	agtr
天資	agtr
天庭	agty
忝	agu
天不怕，地不怕	agu
天不怕地不怕	agub
𢆛	ague
𢧏	aguh
天性	agum
下不為例	agun
𡚑	agun
𪸓	aguo
吞恨	agux
天燈	agux
天河	agva
天涯	agvg
吞滅	agvh
天淵	agvn
吞沒	agvv
天演	agvw
天津	agvx
天池	agvy
迗	agw
天空	agwb
正確地	agwb
一面之雅	agwh
天宮	agwj
天神	agwk
頂禮	agwk
天窗	agwn
天邊	agwn
一面之辭	agwp
一面之交	agws
一面之詞	agws
更不必說	agws
正確度	agwt
天祥	agwu
天道	agwu
正確性	agwu
一面之緣	agwz
㤁	agwz
天門	agxd
天君	agxj
天書	agxk
歌友會	agxo
天子	agya
下不了臺	agyb
兩碼子事	agyd
𪥉	agyi
武夷山	agyl
天險	agyo
天際	agyr
天弓	agyz
下不了台	agyz
𡗙	agz
𡛌	agzm
天線	agzn
平面幾何	agzn
平面幾何學	agzn
天災	agzu
天母	agzy
頂好	agzy
形成	ah
一匡天下	ahaa
夏威夷	ahag
㦱	ahb
武士	ahba
弐	ahbd
形式上	ahbi
武場	ahbk
正式版	ahbn
形式化	ahbn
武夫	ahbo
形式美	ahbu
武功	ahby
一致表示	ahcb
武鬥	ahcc
武打	ahda
一切措施	ahds
武藝	aheb
一盞茶工夫	aheb
武林	ahff
干戈相見	ahfl
一臥不起	ahgb
夏威夷州	ahgv
夏威夷群島	ahgx
一成不變	ahgz
武威	ahha
一盞盞	ahhh
武	ahi
武戲	ahia
𣦏	ahie
虣	ahii
武	ahii
𢦰	ahii
䝾	ahil
𧹁	ahil
鵡	ahir
鹉	ahir
𫛁	ahir
武器	ahjj
𢦱	ahk
武旦	ahka
武昌	ahkk
武界	ahko
𢎔	ahkr
貮	ahlo
𢦌	ahm
武生	ahmc
一覽表	ahmc
一覽無餘	ahmo
一致性	ahmu
一覽無遺	ahmw
正式管道	ahmw
武師	ahmy
武備	ahne
武俠	ahng
武學	ahno
武人	ahod
武德	ahoe
武術	ahof
武行	ahoi
一切從簡	ahom
𢎁	ahoz
武后	ahpa
鵡	ahr
𢍼	ahs
百感交集	ahsn
武帝	ahsu
形式主義	ahsu
武廟	ahte
武漢	ahve
形式法則	ahvl
形成層	ahvx
武宗	ahwb
武官	ahwy
武陵	ahyb
武力	ahym
𤭎	ahys
武裝	ahzb
𢎁	ahzo
武將	ahzr
武斷	ahzz
丁	ai
鄢	aia
㠪	aia
丅	aiaa
㒫	aiag
哥	aiaj
下頭	aiaj
𠾳	aiaj
一顰一笑	aiam
丁憂	aian
𠇬	aiao
𨱘	aiao
下列	aiar
𡕣	aiar
更上一層樓	aiax
𠾥	aiax
𫑚	aiay
𡿰	aiaz
𡿴	aiaz
𠀀	aiaz
下土	aiba
下士	aiba
正巧	aiba
下款	aibb
頂上功夫	aibb
正項	aibg
𣦥	aibg
下工	aibi
政工	aibi
下臺	aibj
下場	aibk
正規	aibo
平上去入	aibo
下元	aibr
㒫	aibr
政壇	aibs
𠁘	aibu
下地	aibv
下坡	aibx
正聲	aibx
政教	aiby
下去	aibz
𠳊	aibz
𡿰	aibz
𪴹	aibz
平步青雲	aicf
𢧎	aich
下聘	aick
𧶷	aicl
靕	aicq
𡕣	aicr
下班	aicu
下馬	aicu
正取	aicx
下毒	aicz
天上聖母	aicz
𡿴	aicz
下	aid
歹戲拖棚	aidf
政事	aidj
正事	aidj
下擺	aidl
下挫	aido
下葬	aiea
下載	aief
正直	aiel
正南	aiel
𥛴	aieo
下期	aieq
下落	aiev
下藥	aiez
正本	aifa
𣒮	aifb
兩虎相鬥	aifc
下棋	aife
政權	aife
下霜	aiff
正西	aifj
下車	aifk
下樓	aifk
下榻	aifk
正東	aifk
正電	aifk
下來	aifo
下麵	aifo
兩虎相爭	aifp
兩虎相爭必有一傷	aifp
正軌	aifq
正楷	aifr
下雨	aifv
政要	aifv
正要	aifv
下雪	aifx
正極	aify
正大	aigd
政大	aigd
下面	aigj
正面	aigj
下唇	aigj
頂	aigo
頙	aigo
顶	aigo
焉有	aigq
㒫	aigr
𣤀	aigr
正在	aigv
正確	aigw
歌劇院	aigy
𠀀	aih
正式	aihb
正	aii
𤴓	aii
㐀	aiia
𠀝	aiia
羋	aiib
芈	aiib
卝	aiid
𢍐	aiie
𩃅	aiij
正步	aiik
𣦓	aiil
𧇘	aiil
雈	aiin
𨪱	aiip
正餐	aiir
㪃	aiix
𠀞	aiix
可	aij
𠮴	aij
正號	aija
下嚥	aije
𡘀	aijg
𩑸	aijg
戨	aijh
㢦	aijh
𢎄	aijh
𢦪	aijh
下回	aijj
下品	aijj
下顎	aijj
𪾌	aijl
下跌	aijm
𢼔	aijm
正史	aijo
㪼	aijp
正路	aijr
下跪	aijr
歌	aijr
㰤	aijr
𠀿	aijr
𪀉	aijr
𪃿	aijr
𥘱	aijr
𫛌	aijr
𧭳	aijs
正中	aijv
𠄙	aijx
㐓	aijy
𨚩	aijy
𨝆	aijy
𥛠	aika
下野	aikb
𠽚	aikb
正果	aikf
𥚌	aikf
下田	aiki
一步步	aiki
百步蛇	aiki
𤳾	aikk
𣦎	aikl
下界	aiko
政界	aiko
政略	aikr
天蠍座	aikt
正對	aiku
正業	aiku
正是	aikv
下水	aikv
正常	aikw
正當	aikw
政黨	aikw
下堂	aikw
丁男	aiky
正數	aikz
正點	ailb
𢀯	ailb
下賤	ailh
下帖	aili
正則	ailk
下體	ailk
政體	ailk
𠁚	ailk
下山	aill
𦟆	ailq
政見	ailr
𢦀	ailw
正眼	ailx
政	aim
下等	aimb
丁等	aimb
下箸	aimb
下手	aimd
下午	aime
下垂	aime
正午	aime
下策	aimf
政策	aimf
焉知	aimj
丁香	aimk
𣥵	aimk
政制	aiml
𧖬	aiml
下種	aimm
正稅	aimo
政	aimo
爾虞我詐	aims
𠀨	aims
𥪛	aims
𢾘	aimw
下筆	aimx
正氣	aimy
下氣	aimy
政委	aimz
𡉹	ainb
下身	ainc
正身	ainc
正值	aine
𥙳	ainf
𢧖	ainh
正修	aini
𨾖	aini
𪵿	aink
𥘲	ainl
正牌	ainn
下學	aino
𧹚	aino
正版	ainp
𣂘	ainp
正貨	ainr
𠅗	ainr
下位	ains
正位	ains
𤓯	aio
𢀰	aiob
下人	aiod
正人	aiod
正德	aioe
𨱗	aioh
下行	aioi
𥙏	aioi
焉得	aiok
𩳮	aion
𩲚	aion
正坐	aioo
下飯	aiop
蘷	aior
夒	aior
下頷	aios
𫁮	aios
下令	aiow
政令	aiow
𠾥	aiow
下鍋	aipl
政爭	aipx
正反	aipx
頭上腳下	aiqa
下凡	aiqd
𠙁	aiqd
下肢	aiqe
下風	aiqi
颪	aiqi
政風	aiqi
下腹	aiqm
下獄	aiqs
下月	aiqv
正月	aiqv
𣪅	aiqx
正犯	aiqy
副處長	airc
𥘅	aird
一些些	airi
一齣戲	airi
正名	airj
茍	airj
𠶱	airj
𡃭	airj
下旬	airk
𠶘	airk
正負	airl
𣀋	airm
𪢦	airm
𠀵	airo
正比	airr
𠀢	airr
𠀲	airr
𪤶	airr
羐	airs
正處於	airs
𣥛	airs
正色	airy
鴊	airz
𩾚	airz
𩿳	airz
正言	aisa
下部	aisj
正誤	aisj
下課	aisk
正課	aisk
正音	aisk
𠝙	aisk
下放	aism
下文	aiso
正文	aiso
政論	aiso
正論	aiso
正交	aiso
𧙑	aisr
正該	aiss
政商	aisu
政敵	aisu
𥩠	aisu
下方	aisy
正方	aisy
下詔	aisy
𨜃	aisy
下廚	aitb
下疳	aite
正席	aite
下床	aitf
政府	aitn
下次	aitr
正北	aitr
下半	aiub
下情	aiuc
政情	aiuc
𡯼	aiug
𠁈	aiuj
正義	aium
下首	aiun
𩠑	aiun
𠀺	aiuo
𤆉	aiuo
𨱘	aiuo
下懷	aius
下營	aiuu
丁烷	aiuw
鄢	aiuy
正朔	aiuz
下江	aivb
正法	aivb
政潮	aive
下酒	aivf
下滑	aivl
下海	aivm
形上學	aivn
正派	aivp
下注	aivs
下流	aivs
下游	aivs
𠃎	aivv
下沈	aivw
下沉	aivw
下瀉	aivw
政治	aivz
𪡑	aivz
𫟧	aiw
下達	aiwb
正宗	aiwb
下定	aiwd
下述	aiwf
百步穿楊	aiwf
正室	aiwh
𢧻	aiwh
正宮	aiwj
下週	aiwl
正視	aiwl
下邊	aiwn
政途	aiwo
正途	aiwo
百歲之後	aiwo
政客	aiwr
𠖙	aiwr
下房	aiws
𣃟	aiws
正道	aiwu
政通	aiwx
正字	aiwy
忑	aiwz
正寢	aiwz
正心	aiwz
𢘫	aiwz
下開	aixa
一步登天	aixa
下屆	aixb
焉敢	aixc
正門	aixd
正殿	aixe
更上層樓	aixf
下蛋	aixi
下問	aixj
下屬	aixk
正書	aixk
𪚦	aixo
下層	aixu
政務	aixx
𪚦	aixx
政局	aixy
下關	aixz
邒	aiy
𨚣	aiy
下子	aiya
乤	aiyd
㐉	aiyd
下巴	aiyi
下降	aiyr
下陷	aiyr
正隆	aiyr
下弦	aiys
㼗	aiys
𤭻	aiys
下墜	aiyu
下限	aiyx
丐	aiz
丁壯	aizb
政績	aizc
𩒆	aizg
下台	aizj
正如	aizj
𣅰	aizk
下網	aizl
政綱	aizl
𧵜	aizl
下女	aizm
𡛵	aizm
𣂱	aizp
焉能	aizq
政變	aizr
𠣣	aizr
正統	aizs
焉	aizu
正經	aizv
政經	aizv
下嫁	aizw
正好	aizy
下級	aizy
丏	aizy
𨚾	aizy
下鄉	aizz
可	aj
哥	aja
副刊	ajae
豆干	ajae
頭天	ajag
頭頂	ajag
䜻	ajai
𡈋	ajai
哥哥	ajaj
可可	ajaj
豆豉	ajaj
豇豆	ajaj
豌豆	ajaj
融融	ajaj
一跌再跌	ajaj
𠻸	ajaj
𩱇	ajaj
吞口水	ajak
可圈可點	ajal
一口氣	ajam
一唱一和	ajam
死路一條	ajan
百戰百勝	ajaq
形跡可疑	ajar
𣱌	ajar
一呼百諾	ajas
正中下懷	ajau
憂國憂民	ajay
兩口子	ajay
可口可樂	ajaz
一蹴可幾	ajaz
𩰳	ajbb
頭城	ajbh
可喜	ajbj
吞吐量	ajbk
𩰵	ajbk
歌壇	ajbs
可惡	ajbw
歌聲	ajbx
歌王	ajca
𧯵	ajcb
頭髮	ajcg
副理	ajck
𩱉	ajcu
可恥	ajcw
橐駝	ajcw
可取	ajcx
囊括	ajdm
頭寸	ajds
正因為	ajdu
可救	ajdv
死中求活	ajdv
頭蓋	ajeb
𧰆	ajeb
豆萁	ajee
豆莢	ajeg
豆芽	ajeh
𧐵	ajei
可歎	ajej
可觀	ajej
𩰯	ajej
豆苗	ajek
䜺	ajek
豆花	ajen
一鳴驚人	ajeo
豆菜	ajep
囊	ajer
可敬	ajer
嚢	ajer
百口莫辯	ajes
豆蔻	ajew
豉	ajex
䰙	ajex
副本	ajfa
歌本	ajfa
副團長	ajfc
䜹	ajfj
𣒚	ajfj
𣗞	ajfj
一團糟	ajfu
可要	ajfv
融雪	ajfx
副機	ajfz
百戰不殆	ajga
歹路不可行	ajga
一躍而起	ajgb
頭套	ajgc
頭大	ajgd
一蹶不振	ajgd
𡭋	ajgd
一哄而散	ajge
橐	ajgf
㯻	ajgf
𣠔	ajgf
百吃不厭	ajgg
𩱄	ajgg
𥗤	ajgg
可否	ajgj
可厭	ajgk
𢄿	ajgl
𩰴	ajgl
頭盔	ajgu
𩱊	ajgu
𧯬	ajhb
𩰹	ajhb
頭七	ajhd
𢨖	ajhh
𩰭	ajhm
囊	aji
𧖓	aji
𧾸	aji
歌劇	ajig
蠹	ajii
𣥔	ajii
𧕰	ajii
𧖚	ajii
可慮	ajik
頭顱	ajik
頭上	ajiv
𢘑	ajiw
叓	ajix
䜴	ajix
𢾇	ajix
𢾿	ajix
𡝽	ajiz
可口	ajja
頭號	ajja
𧯱	ajja
𡈧	ajjb
𪡅	ajjb
一回事	ajjd
可嘆	ajje
可鄙	ajje
櫜	ajjf
𣟏	ajjf
可貴	ajji
𧏋	ajji
𫙄	ajji
一串串	ajjj
疈	ajjk
歌唱	ajjk
㽬	ajjk
𠠦	ajjk
𤲇	ajjk
下顎骨	ajjl
𩱇	ajjl
歌喉	ajjn
頭路	ajjr
政戰部	ajjs
𧰐	ajju
一口咬定	ajjw
副	ajk
𩍻	ajke
㰆	ajkf
𣠀	ajkf
𣡖	ajkf
𡚀	ajkg
可畏	ajkh
畐	ajki
歌唱劇	ajki
副	ajkk
歌曲	ajkk
𧰉	ajkk
歌星	ajkm
形單影隻	ajkn
鶝	ajkr
副業	ajku
可是	ajkv
𠀯	ajkv
可悲	ajkw
頭暈	ajkw
歌唱家	ajkw
逼	ajkw
𩰼	ajkx
𧰃	ajkz
融	ajl
頭目	ajla
𧰗	ajla
𫎄	ajla
副署	ajlb
鬲	ajld
𠀷	ajld
𠁐	ajld
鞷	ajle
鬴	ajlf
𦓠	ajlg
𩰴	ajlg
𩰭	ajlh
融	ajli
頭巾	ajli
頭罩	ajli
𧖓	ajli
𫋊	ajli
𧰏	ajlj
䰝	ajlk
𫙅	ajll
𩰫	ajlm
鷊	ajlr
可見	ajlr
鹝	ajlr
䰚	ajls
可用	ajlv
頭骨	ajlw
䣓	ajly
𨜥	ajly
頭等	ajmb
一回生二回熟	ajmb
頭籌	ajmb
𩰫	ajmb
副手	ajmd
歌手	ajmd
歌舞	ajme
𧯝	ajmh
𧯤	ajmi
可靠	ajmj
可知	ajmj
融和	ajmj
𩰬	ajml
可笑	ajmm
一團和氣	ajmm
死別生離	ajms
豆科	ajmt
𫝁	ajnd
豍	ajne
可供	ajne
歌集	ajnf
𣝐	ajnf
囊袋	ajnh
頭份	ajno
頭版	ajnp
可佩	ajnq
一路順風	ajnq
頭像	ajnr
哥兒	ajnr
歌兒	ajnr
融化	ajnr
頭兒	ajnr
可信	ajns
䝄	ajnx
𧰤	ajnx
吏	ajo
融合	ajoa
可人	ajod
融入	ajod
㐁	ajod
哥德	ajoe
𣡦	ajof
𣡪	ajof
可行	ajoi
歌行	ajoi
𠲀	ajoj
可得	ajok
頭飾	ajom
𠀬	ajoo
𧯲	ajoo
頭銜	ajop
𪫈	ajop
鬷	ajor
下回分解	ajor
𩰺	ajor
𩱛	ajor
吏	ajos
栆	ajot
豆餅	ajou
融會	ajov
頭領	ajow
下跪行禮	ajow
副食	ajox
歌頌	ajoz
頭彩	ajpf
頂呱呱	ajpj
可愛	ajpw
豆乳	ajpy
頭風	ajqi
䜽	ajqk
頭臉	ajqo
頭腦	ajqz
頭胎	ajqz
歌	ajr
𣚇	ajrf
𣡏	ajrf
一路上	ajri
頭名	ajrj
𧯠	ajrj
頭昏	ajrk
融解	ajrl
頭角	ajrl
可疑	ajrm
䜶	ajrm
𧯰	ajrn
鬺	ajro
𧯨	ajrr
𩱛	ajrr
豌	ajry
𩱈	ajrz
可言	ajsa
可讀	ajsb
可親	ajsf
頭部	ajsj
可就	ajsj
吏部	ajsj
𡃠	ajsj
可謂	ajsk
䜾	ajsk
豆瓣	ajsp
可望	ajsq
歌謠	ajsr
𧚐	ajsr
𧞢	ajsr
𩱘	ajsr
𩱝	ajsr
歌詠	ajss
憂患意識	ajss
歌譜	ajsu
歌誦	ajsx
歌詞	ajsy
副詞	ajsy
歌廳	ajtc
㪷	ajte
𩰮	ajte
豆腐	ajtn
副座	ajto
融資	ajtr
頭疼	ajtr
頭痛	ajtx
頭	aju
豆	ajua
豇	ajub
可惜	ajue
𧯯	ajue
可怖	ajug
豆類	ajug
頭	ajug
𧯩	ajuj
剅	ajuk
𧡀	ajul
𩱐	ajul
毭	ajum
可怕	ajun
𧯞	ajup
𣪌	ajuq
可燃	ajur
㰯	ajur
𪁞	ajur
可憐	ajuu
可憎	ajuu
融為	ajuv
逗	ajuw
可恨	ajux
豏	ajux
䜵	ajux
郖	ajuy
㐙	ajuy
𧯪	ajuy
可惱	ajuz
䜳	ajuz
可汗	ajva
豆汁	ajve
豆渣	ajvf
豆沙	ajvk
豆油	ajvk
正中央	ajvl
囊中物	ajvm
融洽	ajvo
融液	ajvs
𩰻	ajvs
𠮛	ajvv
吏治	ajvz
𠁏	ajwb
𠁕	ajwb
百獸之王	ajwc
頭家	ajwg
𧋌	ajwi
一路福星	ajwk
䝴	ajwl
副審	ajwp
頭額	ajwr
歌迷	ajwu
可逆	ajwu
𥺠	ajwu
融通	ajwx
䜷	ajwx
副官	ajwy
𧰎	ajwy
事	ajx
𩰰	ajxb
𩱃	ajxb
𠄙	ajxb
𩱂	ajxe
