一	a
天穹	agwy
无心	agwz
蚕桑	agxx
天子	agya
无异	agye
无力	agym
天险	agyo
无限	agyx
正确引导	agyy
万有引力	agyy
天线	agzh
无能	agzq
无级	agzy
无缘	agzz
形成	ah
一式两份	ahan
正式开始	ahaz
弐	ahbd
形式上	ahbi
一切工作	ahbn
武警	aher
武术	ahfs
正式成立	ahhs
武	ahii
虣	ahii
鹉	ahir
鵡	ahir
武器	ahjj
武昌	ahkk
貮	ahlo
一致同意	ahls
武生	ahmc
鹉	ahr
形式多样	ahrf
一致意见	ahsl
形式主义	ahss
正式访问	ahst
一致认为	ahsu
武装	ahtb
武斗	ahte
武汉	ahvx
形式逻辑	ahwh
一致通过	ahww
武官	ahwy
武力	ahym
丁	ai
鄢	aia
丅	aiaa
哥	aiaj
可卡因	aiaj
下列	aiar
正巧	aiba
下工	aibi
下来	aibk
正规	aibo
下地	aibv
下场	aiby
下去	aibz
正职	aicj
靕	aicq
下班	aicu
下	aid
正直	aiel
下落	aiev
政协	aiey
下棋	aife
丁醇	aifs
下雨	aifv
政权	aifx
正极	aify
丁酸	aifz
下面	aigj
正面	aigj
顶	aigo
頂	aigo
頙	aigo
正确	aigr
正在	aigv
正式	aihb
下车	aihe
正轨	aihq
正切	aihy
正	aii
可卡因	aiij
可	aij
正号	aija
戨	aijh
一点点	aiji
下颚	aijj
下跌	aijm
歌	aijr
一点儿	aijr
正中	aijv
正畸	aikg
政界	aiko
正是	aikv
正常	aikw
政党	aikw
正当	aikx
正电	aikz
下贱	ailh
与此同时	ailk
下山	aill
政	aim
下等	aimb
下手	aimd
下午	aime
正午	aime
政策	aimf
政	aimo
正气	aimy
政委	aimz
正值	aine
政体	ainf
正像	ainr
正片	ainx
下颌	aioa
政企	aioi
夒	aior
下令	aiow
下钻	aipi
下盘	aipl
正反	aipx
下肢	aiqe
颪	aiqi
下风	aiqo
下月	aiqv
正月	aiqv
下旬	airk
正负	airl
正比	airr
政务	airy
鴊	airz
下部	aisj
下调	aisl
下放	aism
正义	aiso
正文	aiso
下设	aisq
政变	aisx
下方	aisy
一些问题	aitk
下痢	aitm
政府	aitn
下次	aitr
正火	aiuo
丁烯	aiuo
丁烷	aiuw
鄢	aiuy
正数	aiuz
政法	aivb
下滑	aivl
下游	aivs
下沉	aivw
政治	aivz
正割	aiwc
下定	aiwd
下述	aiwf
下达	aiwg
政审	aiwk
下边	aiwy
丁字	aiwy
忑	aiwz
下马	aixa
下层	aixb
下届	aixk
下属	aixm
政局	aixy
邒	aiy
乤	aiyd
下巴	aiyi
下降	aiyr
下陷	aiyr
正弦	aiys
下弦	aiys
下限	aiyx
丐	aiz
政绩	aizc
正如	aizj
下台	aizj
正统	aizs
焉	aizu
下发	aizv
正经	aizx
正好	aizy
下级	aizy
丏	aizy
下乡	aizz
可	aj
哥	aja
副刊	ajae
哥哥	ajaj
豌豆	ajaj
可恶	ajak
一口气	ajam
一国两制	ajam
两国政府	ajat
两口子	ajay
可喜	ajbj
吞吐量	ajbk
副井	ajbn
歌声	ajbx
可耻	ajci
副职	ajcj
两国间	ajct
可取	ajcx
囊括	ajdm
豆芽	ajeh
豆苗	ajek
囊	ajer
嚢	ajer
豆蔻	ajew
豉	ajex
歌艺	ajey
副本	ajfa
副根	ajfx
一哄而起	ajgb
橐	ajgf
可不	ajgi
无足轻重	ajhm
蠹	ajii
叓	ajix
可贵	ajja
可口	ajja
可因	ajjd
櫜	ajjf
可贵	ajji
副品	ajjj
歌唱	ajjk
疈	ajjk
歌咏	ajjs
副	ajk
可由	ajki
畐	ajki
副	ajkk
歌曲	ajkk
鶝	ajkr
副业	ajku
可是	ajkv
逼	ajkw
融	ajl
鬲	ajld
鞷	ajle
鬴	ajlf
融	ajli
可见	ajlr
鹝	ajlr
鷊	ajlr
可用	ajlv
歌舞	ajme
可靠	ajmj
可知	ajmj
可看	ajml
可笑	ajmm
可先	ajmr
豆科	ajmt
可我	ajmv
可使	ajna
可供	ajne
豍	ajne
融化	ajnr
可信	ajns
可他	ajnv
吏	ajo
融合	ajoa
融会	ajob
可行	ajoi
鬷	ajor
吏	ajos
栆	ajot
副食	ajox
两国人民	ajoy
歌颂	ajoz
可爱	ajpw
囊胚	ajqg
歌	ajr
一路上	ajri
融解	ajrl
可疑	ajrm
鬺	ajro
可比	ajrr
豌	ajry
可谓	ajsk
可调	ajsl
歌谣	ajsp
可望	ajsq
可变	ajsx
歌词	ajsy
豆腐	ajtn
豆浆	ajtr
武器装备	ajtr
豆	aju
豆	ajua
豇	ajub
可惜	ajue
頭	ajug
剅	ajuk
两国关系	ajum
毭	ajum
可怕	ajun
可怜	ajuo
豆粒	ajus
可憎	ajuu
可为	ajuv
逗	ajuw
可恨	ajux
豏	ajux
郖	ajuy
豆渣	ajvf
豆油	ajvk
豆沙	ajvk
融洽	ajvo
两国之间	ajwt
可逆	ajwu
事	ajx
可观	ajxl
豆子	ajya
鬸	ajyk
翮	ajyy
副翼	ajyy
蟗	ajzi
可以	ajzo
可能	ajzq
吞吐能力	ajzy
可出	ajzz
更	ak
更正	akai
严正	akai
垩	akb
正常工作	akbn
正当理由	akck
恶毒	akcz
夏时制	akdm
更换	akdr
専	akds
画报	akdy
恶霸	akfe
严禁	akff
严整	akfj
严酷	akfm
严格	akfr
更要	akfv
严厉	akga
更大	akgd
画面	akgj
更有	akgq
亚太	akgs
一辈子	akhy
平时成绩	akhz
晋	akk
曺	akk
恶果	akkf
戬	akkh
更少	akkm
恶劣	akkm
更小	akko
严明	akkq
更是	akkv
鄑	akky
画幅	akla
严峻	aklz
严	akm
一览表	akmc
副省长	akmc
更少的	akmd
晋升	akme
严重	akmk
画笔	akmm
正常秩序	akmt
更使	akna
与日俱增	aknb
恶臭	akng
恶化	aknr
画像	aknr
更低	aknr
更	ako
严惩	akoa
一小撮	akod
一小时	akok
甦	akom
更	akos
严令	akow
郠	akoy
亚铁	akpm
严冬	akrt
更多	akrv
求	aks
严谨	akse
更新	aksf
更高	aksj
恶意	aksk
恶魔	aktf
亚麻	aktf
亚	aku
恶性	akum
更为	akuv
更快	akux
画法	akvb
于是乎	akvm
无党派人士	akvo
亚洲	akvv
可是那	akvy
恶	akw
严守	akwd
严寒	akwe
画家	akwg
亚军	akwh
正常运转	akwh
正常化	akwn
平易近人	akwo
严实	akwt
无党派	akwv
严密	akww
恶	akwz
恶心	akwz
恵	akwz
画展	akxe
畱	akxk
严肃	akxn
更加	akyj
更改	akym
严防	akys
恶习	akyt
画	akz
正电荷	akze
画	akzi
亚纲	akzl
叀	akzs
干电池	akzv
更好	akzy
晋级	akzy
正电子	akzy
两	al
再	alb
两项	albg
再来	albk
两者	albm
两地	albv
严峻考验	albx
再三	alcd
再现	alcv
再植	alfe
两栖	alff
丙酮	alfl
两枚	alfm
丙醇	alfs
两样	alfu
两极	alfy
再不	algi
两面	algj
巿	ali
帀	ali
两国	aljc
两只	aljo
万用电表	alkc
两党	alkw
丽	all
丽	alld
两岸	allg
両	alll
彨	allp
再见	allr
鹂	allr
麗	allt
两用	allv
逦	allw
郦	ally
婯	allz
再生	almc
两手	almd
两种	almj
两年	almm
两侧	alnl
丙	alo
再会	alob
丙	alod
两	aloo
兩	aloo
两个	alov
两岸人民	aloy
邴	aloy
一瞬间	alpt
一帆风顺	alqn
两条	alrf
鳾	alrz
	alrz
两端	alsl
两旁	alsu
再说	alsv
两头	altg
两广	altg
彲	altp
两次	altr
再次	altr
鸝	altr
再度	altv
邐	altw
酈	alty
两性	alum
丙烷	aluw
迊	alw
再造	alwm
两道	alwu
两边	alwy
一目了然	alyr
两院	alyw
副县长	alzc
丙纶	alzo
严重	am
一年一度	amat
一等功	ambb
一等品	ambj
平等互利	ambm
一等奖	ambt
无私奉献	amce
一生中	amcj
再生产	amcs
严重事故	amde
严重损失	amdm
平等权利	amfm
丁氰橡胶	amfq
严重破坏	amgb
残缺不全	amgo
百年大计	amgs
一年到头	amht
副委员长	amjc
可靠性	amju
严重影响	amkj
严重性	amku
豆制品	amlj
再制品	amlj
一年四季	amlm
再生制动	ammb
严重后果	ampk
严重错误	amps
一年比一年	amra
一年多来	amrb
严重危害	amrw
平等竞争	amsr
一知半解	amur
政策法规	amvb
副秘书长	amxc
天气预报	amxd
一季度	amyt
一系列	amza
丁种维生素	amzm
百	an
夏天	anag
皕	anan
百万	anay
卅	and
丌	and
无偿援助	andl
干什么	anem
无休止	anfi
一体化	anfn
奡	angn
夏至	anhb
戛	anhm
丣	anhx
百	ank
百里	ankb
副作用	anml
百年	anmm
百科	anmt
副伤寒	anmw
夏季	anmy
无息贷款	annb
百货	annr
百倍	anns
哥伦布	anog
百分	anoy
百货公司	anoy
夏	anr
哥伦比亚	anra
夏	anrs
鄾	anry
百计	anse
百部	ansj
百货商店	anst
夏粮	anus
戞	anwh
憂	anwr
百姓	anzm
丈	ao
一个一个	aoao
万众一心	aoaw
与会者	aobb
副会长	aobc
丈夫	aobo
一会儿	aobr
两个基本点	aoef
两全其美	aoeu
下个世纪	aoez
无微不至	aogh
与众不同	aogl
可行性	aoiu
平行线	aoiz
一个中心	aojw
下个星期	aoke
与会同志	aolb
平行四边形	aolw
平行四边形法则	aolw
平分秋色	aomr
下个季度	aomt
与会代表	aonc
平行作业	aonk
政企分开	aooa
壐	aoob
璽	aooc
蠒	aooi
覼	aool
爾	aooo
鸍	aoor
邇	aoow
平衡表	aorc
平衡木	aorf
丈	aos
平行六面体	aosg
两个文明	aosk
两个文明建设	aosk
开会讨论	aoss
无人问津	aotv
一分为二	aoub
与人为善	aouu
一个样	aovf
一个是	aovk
一个个	aovo
下个月	aovq
百分之百	aowa
副食品	aoxj
一个劲儿	aoxr
百分比	aoyr
百分率	aoys
百分数	aoyu
可分为	aoyu
百分之	aoyw
无人驾驶飞机	aoyx
一般	ap
正反两方面	apas
无所事事	apdd
一般的说	apds
开采权	apff
一般等价物	apmn
无所作为	apnu
可锻铸铁	appp
一般人	apqo
一般性	apqu
一般说来	apsb
无所谓	apvs
一月	aq
两脚规	aqbb
下脚料	aqbu
丁腈橡胶	aqfq
天狼星	aqsk
一月份	aqvn
死	ar
死于	arad
死刑	arae
殨	aral
	aral
殡殓	arar
歼灭	arau
更多更好	araz
殪	arb
烈士	arba
死者	arbm
殬	arbu
殓	arbv
殝	arcm
残毒	arcz
残损	ardj
殖	are
殡葬	area
无名英雄	areg
殖	arel
一条龙	arfg
殐	arfj
残酷	arfm
无条件	arfn
一条街	arfo
死板	arfp
天然橡胶	arfq
一条心	arfw
天然林	argf
天然碱	argg
天然气	argm
正多面体	argn
殠	args
天然漆	argv
天然丝	argz
残	arh
殌	arhb
列车	arhe
殘	arhh
残	arhm
正处于	aria
副外长	aric
殒	arj
裂口	arja
殣	arjc
无名指	arjd
残品	arjj
殒	arjl
殞	arjl
殑	arjr
一句话	arjs
殪	arju
列	ark
烈日	arka
殲	arka
殱	arka
列	arkd
残暴	arke
殚	arke
殫	arke
殧	arkg
殭	arkk
殟	arkl
殯	arkl
殥	arko
銐	arkp
鴷	arkr
鮤	arkr
	arkr
烈	arku
烮	arku
迾	arkw
劽	arky
殗	arkz
姴	arkz
殂	arlc
殃	arlg
殰	arll
残败	arlm
裂解炉	arlu
天然气井	armb
殅	armc
歼	arme
残缺	arme
殀	armg
殊	armk
殈	arml
死敌	armm
死物	armr
可比价格	arnf
无条件反射	arnp
裂化	arnr
殓	aro
列入	arod
残杀	arof
残余	arom
殮	aroo
殎	aroo
殄	arop
天然饵料	arou
飱	arox
死后	arpa
歽	arpd
殡	arpo
餮	arpo
殍	arpy
殁	arq
天然杂交	arqs
殁	arqx
死	arr
殉	arrk
殙	arrk
裂解	arrl
歾	arro
殤	arro
死	arrr
残留	arrs
殦	arrz
歹	ars
死亡	arsh
殕	arsj
裂	arsr
裂变	arsx
列席	arte
残疾	artm
裂痕	artx
残废	artz
烈	aru
烈性	arum
烈火	aruo
列为	aruv
列举	arva
万多元	arvb
更多的	arvd
残渣	arvf
百多吨	arvj
殏	arvs
天然染料	arvu
殡	arw
正多边形	arwa
残害	arwc
两条道路	arwj
殢	arwl
殛	arxa
肂	arxb
殔	arxk
死尸	arxm
死难	arxn
殩	arxu
残局	arxy
殖民	aryh
列强	aryj
裂隙	aryk
殇	aryo
歿	aryx
殜	arzf
殆	arzj
烈女	arzm
裂纹	arzs
裂缝	arzw
列出	arzz
天然纤维	arzz
干部	as
一言堂	asak
一望无际	asay
天衣无缝	asaz
天诛地灭	asba
开放地区	asbh
天旋地转	asbh
开放城市	asbs
与市场调节相结合	asbs
天主教	ascb
副主任	ascn
副主席	asct
正义事业	asdk
更新换代	asdn
无计其数	aseu
开诚布公	asgo
万变不离其宗	asgs
死记硬背	asgt
死亡率	ashs
干部战士	asib
副部长	asjc
更高的	asjd
一部分	asjo
开放电路	askj
无意识	asks
下意识	asks
可变电容器	askw
副市长	aslc
无产者	asmb
开放区	asmh
副产品	asmj
夏熟作物	asnm
干部作风	asnq
无效分蘖	asoe
无论是	asok
平方公里	asok
天文学	asov
正离子	asoy
天文台	asoz
无记名投票	asrd
更衣室	asrw
天文望远镜	assw
下议院	assy
可变资本	astf
正义斗争	astr
天文单位	asun
一言为定	asuw
一语道破	aswg
一言难尽	asxx
正方形	asya
平方根	asyf
一方面	asyg
两方面	asyg
正方体	asyn
一意孤行	asyo
平方米	asyu
无产阶级	asyz
无论如何	aszn
政府	at
政府工作	atbn
政府工作报告	atbn
一席话	ates
政府机构	atff
政府机关	atfu
两头小中间大	atkj
开门见山	atll
百废具兴	atlv
开门红	atlz
干净利落	atme
残疾人	atmo
政府代表团	atnc
一应俱全	atno
豆腐乳	atnp
豆腐皮	atnx
天底下	atra
一次性	atru
无底洞	atrv
一次方程	atsm
政府部门	atst
武装部队	atsy
武装斗争	attr
武装冲突	attw
一席之地	atwb
下决心	atxw
武装力量	atyk
下半年	au
平	aua
无懈可击	auab
平顶	auag
可惊可叹	auaj
更为严重	auam
平平	auau
下半场	aubb
平坦	aubk
下半时	aubk
下半年	aubm
平均	aubr
平壤	aubs
下半夜	aubs
平地	aubv
平声	aubx
平动	aubz
平静	aucq
平素	aucz
无精打彩	audp
灭菌	auej
平直	auel
平整	aufj
平板	aufp
平面	augj
平布	augl
平原	augn
平仄	augo
无关大局	augx
灭口	auja
干燥塔	aujb
副总理	aujc
干燥机	aujf
干燥器	aujj
干燥箱	aujm
干燥剂	aujs
无烟煤	auju
副总统	aujz
平日	auka
平时	aukd
平果	aukf
平常	aukw
无性繁殖	auma
平等	aumb
平生	aumc
更为重要	aumf
平和	aumj
平稳	aumr
平移	aumr
干性油	aumv
平川	aund
平价	auno
平息	aunw
灭	auo
恶性循环	auoc
丙烯酸	auof
平行	auoi
可怜虫	auoi
灭火器	auoj
平谷	auoo
平衡	auor
平分	auoy
平反	aupx
平凡	auqd
无性杂交	auqs
平角	aurl
可燃性	auru
灭亡	aush
平调	ausl
干燥设备	ausr
平方	ausy
平装	autb
平头	autg
平凉	auts
平度	autv
无烟火药	auue
平炉	auuw
平江	auvb
平滑	auvl
平淡	auvu
平定	auwd
平视	auwl
平炉钢	auwp
平房	auws
平安	auwz
亚美尼亚	auxa
更快的	auxd
平民	auyh
平阳	auyk
平绒	auzh
平台	auzj
平缓	auzp
灭绝	auzr
平纹	auzs
可塑性	auzu
天津	av
天津市	av
无法无天	avaa
无济于事	avad
一天	avag
一下	avai
一再	aval
一举两得	avao
一一	avav
一二	avbd
一项	avbg
一来	avbk
一堆	avbn
政治工作	avbn
一块	avbx
一起	avby
一场	avby
一动	avbz
政治素质	avcp
一帮	avcy
一事	avdj
一批	avdr
一十	aved
一直	avel
一共	aveo
政治协商会议	aves
开源节流	avev
一带	avew
一本	avfa
一杯	avfg
一棵	avfk
政治权利	avfm
一枚	avfm
一霎	avfs
一样	avfu
一概	avfx
一根	avfx
一套	avgc
一面	avgj
政治面目	avgl
一页	avgo
一碗	avgw
一辆	avha
一致	avhm
一轮	avho
一举成名	avhr
一切	avhy
一点	avij
一步	avik
一些	avir
一口	avja
一味	avjb
一团	avjd
一举中标	avjf
一员	avjl
一只	avjo
一路	avjr
政治路线	avjz
一旦	avka
干湿表	avkc
一时	avkd
一早	avke
政治思想	avkf
一曲	avkk
副油箱	avkm
一是	avkv
干涉内政	avla
一睹	avlb
一同	avld
一瞬	avlp
平滑肌	avlq
一眼	avlx
一等	avmb
一生	avmc
一手	avmd
一千	avme
一种	avmj
一年	avmm
干活儿	avmr
政治制度	avmt
一气	avmy
一例	avna
一段	avnc
一体	avnf
一代	avnh
一向	avnj
一件	avnm
政治体制	avnm
政治体制改革	avnm
一位	avns
一伙	avnu
一片	avnx
一会	avob
一行	avoi
一个	avov
一律	avox
一分	avoy
一番	avpk
一般	avpq
一月	avqv
无法比拟	avrd
一处	avri
一句	avrj
一角	avrl
一溜烟	avru
一色	avry
一语	avsb
一新	avsf
一端	avsl
一夜	avsn
一文	avso
一旁	avsu
平流层	avsx
一方	avsy
一刻	avsz
一头	avtg
一门	avtl
一次	avtr
一度	avtv
一半	avub
一并	avue
一类	avug
一举	avva
一派	avvp
天涯海角	avvr
一流	avvs
一定	avwd
一家	avwg
一连	avwh
天渊之别	avwj
无源之水	avwk
一道	avwu
可溶性	avwu
一边	avwy
一心	avwz
一层	avxb
政治局面	avxg
一群	avxj
政治局常委	avxk
政治局委员	avxm
天津市	avxs
武汉市	avxs
一对	avxv
一双	avxx
一局	avxy
一张	avyc
一阵	avyh
一线	avzh
政治上	avzi
一贯	avzl
政治部	avzs
政治经济	avzv
政治经济学	avzv
政治家	avzw
亚洲纪录	avzx
政治局	avzx
一级	avzy
一定	aw
无定形碳	awag
更进一步	awai
一心一意	awas
无穷无尽	awax
无边无际	away
亚运会	awbo
一定要	awdf
一定是	awdk
一定会	awdo
一窍不通	awgw
一家子	awgy
一连串	awhj
烈军属	awhx
顶视图	awlj
一视同仁	awln
开户行	awmo
形容词	awos
开户银行	awpo
可逆反应	awpt
顶礼膜拜	awqm
百家争鸣	awrj
亚运意识	awss
天安门广场	awtt
下定决心	awtw
辷	awvv
无穷大	awyg
无穷小	awyk
一边倒	awyn
丁字街	awyo
丁字尺	awyx
一定能够	awzr
天安门	awzt
两审终审制	awzw
开展	ax
开展工作	axbn
干劲十足	axej
严肃查处	axfr
疌	axii
开展业务	axkr
戸	axm
严肃性	axnu
严肃处理	axrc
一昼夜	axss
干劲冲天	axta
干群关系	axum
一对一	axva
妻子	axya
副书记	axys
亚马孙河	axyv
妻	axz
妻	axzm
鶈	axzr
郪	axzy
万	ay
殖民政策	ayam
开司米	ayau
万一	ayav
万万	ayay
万元	aybr
万幸	aybu
一刀切	aydh
殖民地	ayhb
一阵子	ayhy
虿	ayi
万吨	ayjh
趸	ayji
万里	aykb
正弦曲线	aykz
万岁	aylr
万	aym
万千	ayme
万物	aymr
万代	aynh
万人	ayod
万分	ayoy
万象	ayrj
正弦规	aysb
正弦波	aysv
迈	ayw
副院长	aywc
正弦定理	aywc
无限期	ayxe
无限大	ayxg
无限制	ayxm
劢	ayym
万能	ayzq
与	az
与	aza
无缘无故	azae
瓸	azan
欤	azar
无级平滑输出	azau
瓦工	azbi
再结晶	azbk
下结论	azbs
与其	azec
瓦斯	azep
瓦楞	azfl
一丝不苟	azge
与否	azgj
瓦砾	azgr
副线圈	azhj
无线电	azhk
瓲	azhz
开发中心	azjw
瓼	azkb
甅	azkb
无线电报	azkd
无线电传真	azkn
无线电话	azks
无线电波	azkv
无线电通信	azkw
无线电台	azkz
无线电收音机	azkz
瓦特	azmb
瓦罐	azme
开发利用	azml
攷	azmo
瓦片	aznx
与会	azob
一级企业	azok
可以用	azol
可以说	azos
开发公司	azoy
瓰	azoy
无缝钢管	azpm
瓪	azpx
可能会	azqo
可能性	azqu
瓦解	azrl
夨	azs
瓧	azse
瓩	azsm
瓱	azsm
无级变倍	azsn
邷	azsy
开发资源	aztv
无能为力	azuy
开发区	azvh
开发性	azvu
丂	azvv
开始实行	azwo
瓦房	azws
一如既往	azxo
瓦	azy
更好的	azyd
无纪律	azyo
瓦	azys
开始时	azzk
无级缩放	azzs
地	b
土	ba
士	baa
地下开采	baap
土坯	babg
赶赴	babi
二万五千里长征	babm
赶走	babo
土壤	babs
土地	babv
赶超	baby
圩	bad
考据	badx
赶	bae
土葬	baea
土著	baeb
地形图	baej
考勤	baej
考古	baej
老干部	baes
土木	bafa
考查	bafk
考核	bafs
赶到	bahk
土匪	bahk
圢	bai
圷	baid
地下茎	baie
地下水	baik
地下火	baiu
赶上	baiv
考虑	baiw
地下室	baiw
坷	baj
赶回	bajj
堛	bajk
塥	bajl
起死回生	bajm
赶路	bajr
都可以	bajz
地下水面	bakg
地下水位	bakn
埂	bako
垭	baku
赶紧	bakx
圭亚那	baky
考生	bamc
士气	bamy
二百五	banb
老百姓	banz
赶往	baos
土质	bape
士兵	bapo
地下铁道	bapw
趔	bar
考证	basa
考试	bash
土豪	basj
坪	baua
动平衡	bauo
赶忙	baus
赶快	baux
地平线	bauz
土法	bavb
老一辈	bavk
土温	bavk
地下害虫	bawi
考究	bawq
考察	bawr
填平补齐	baws
考验	baxo
土司	baya
土改	baym
考	baz
巧妙	bazk
墕	bazu
款	bb
土坷垃	bbab
奊	bbas
垚	bbb
壵	bbb
款项	bbbg
越来越大	bbbg
堯	bbbg
墝	bbbg
越来越重要	bbbm
封	bbd
堼	bbdb
鞤	bbde
幇	bbdl
