一	a
吞咽	agjj
平面图	agjj
吞噬	agjm
平面镜	agjp
平面角	agjr
昋	agk
无题	agka
无非	agkc
天时	agkd
亚硝酸	agkf
顶尖	agkg
无畏	agkh
天明	agkq
奣	agkq
无业	agku
无水	agkv
天水	agkv
沗	agkv
无常	agkw
天堂	agkw
无暇	agkx
天赋	agla
亚历山大	aglg
无罪	aglk
顶罪	aglk
死不瞑目	agll
天山	agll
天内	aglo
顶峰	aglr
更不用说	agls
无用	aglv
天生	agmc
天鹅	agmh
无知	agmj
蚕种	agmj
无利	agmk
天敌	agmm
无敌	agmm
一大笔钱	agmp
天鹅	agmr
更大程度上	agmt
天气	agmy
无私	agmz
天体	agnf
无偿	agnk
天仙	agnl
天价	agno
无价	agno
顶住	agns
顶	ago
天命	agoa
无人	agod
吞入	agod
死有余辜	agoe
无从	agoo
吞食	agox
蚕食	agox
正确领导	agoy
天镇	agpe
无须	agpg
无锡	agpk
平面几何	agqn
顶风	agqo
吞服	agqy
无	agr
正确处理	agrc
天然	agrg
无名	agrj
天象	agrj
顶角	agrl
无疑	agrm
无比	agrr
正确率	agrs
天冬	agrt
正确性	agru
顶多	agrv
天色	agry
无色	agry
鴌	agrz
无证	agsa
亚硫酸	agsf
无误	agsj
顶部	agsj
无意	agsk
无谓	agsk
天意	agsk
顶端	agsl
正确方向	agsn
无论	agso
无效	agso
天文	agso
无望	agsq
正确认识	agss
形态学	agsv
无方	agsy
天麻	agtf
顶头	agtg
天府	agtn
天冷	agto
无底	agtr
天资	agtr
无度	agtv
忝	agu
无情	aguc
吞并	ague
无关	agug
一厢情愿	agug
无烟	aguj
天性	agum
无性	agum
无愧	agun
下不为例	agun
无益	aguo
无恙	aguw
无数	aguz
无法	agvb
天涯	agvg
吞没	agvv
天津	agvx
无梁	agvy
天池	agvy
迗	agw
天空	agwb
无害	agwc
无遗	agwj
天宫	agwj
副研究员	agwj
无视	agwl
天窗	agwn
正在进行	agwo
一面之交	agws
天灾	agwu
天边	agwy
无边	agwy
无心	agwz
两码事	agxd
蚕桑	agxx
天子	agya
无异	agye
武夷山	agyl
无力	agym
天险	agyo
无限	agyx
正确引导	agyy
万有引力	agyy
天线	agzh
无线	agzh
无能	agzq
无妨	agzs
无缝	agzw
顶级	agzy
无级	agzy
无缘	agzz
形成	ah
夏威夷	ahag
一式两份	ahan
武平	ahau
正式开始	ahaz
武士	ahba
弐	ahbd
武城	ahbh
形式上	ahbi
一切工作	ahbn
武夫	ahbo
武功	ahby
武都	ahby
武打	ahda
列车长	ahec
列车员	ahej
武警	aher
武艺	ahey
武林	ahff
武术	ahfs
一成不变	ahgs
武威	ahha
正式成立	ahhs
武	ahi
武	ahii
虣	ahii
鹉	ahir
鵡	ahir
武器	ahjj
武鸣	ahjr
武昌	ahkk
武山	ahll
貮	ahlo
一致同意	ahls
武生	ahmc
一致性	ahmu
武侠	ahnb
武川	ahnd
下车伊始	ahnz
武钢	ahpl
武胜	ahqm
鹉	ahr
形式多样	ahrf
一致意见	ahsl
百感交集	ahsn
形式主义	ahss
正式访问	ahst
一致认为	ahsu
武装	ahtb
武斗	ahte
武将	ahtr
武清	ahvc
武汉	ahvx
武宁	ahwa
武进	ahwb
武宣	ahwb
武定	ahwd
形式逻辑	ahwh
一致通过	ahww
武官	ahwy
武安	ahwz
武强	ahyj
武力	ahym
武隆	ahyr
武断	ahzu
武乡	ahzz
丁	ai
鄢	aia
丅	aiaa
丁型	aiae
哥	aiaj
可卡因	aiaj
一步一个脚印	aiao
百战百胜	aiaq
下列	aiar
与此无关	aiau
一点一滴	aiav
更上一层楼	aiax
正巧	aiba
政坛	aibb
下工	aibi
下来	aibk
正规	aibo
下地	aibv
下坡	aibx
下场	aiby
下去	aibz
平步青云	aicb
正职	aicj
靕	aicq
下班	aicu
下	aid
下挫	aido
下拉	aids
丁苯	aief
下载	aieh
正直	aiel
下落	aiev
政协	aiey
下棋	aife
下榻	aifk
与此相反	aifp
丁醇	aifs
与此相关	aifu
下楼	aifu
下雨	aifv
政权	aifx
正极	aify
丁酸	aifz
百战不殆	aiga
下面	aigj
正面	aigj
顶	aigo
頂	aigo
頙	aigo
正确	aigr
与此有关	aigu
正在	aigv
正式	aihb
下车	aihe
一步到位	aihn
正轨	aihq
正切	aihy
正	aii
无止境	aiib
芈	aiib
羋	aiib
卝	aiid
正点	aiij
可卡因	aiij
雈	aiin
正餐	aiir
可	aij
正号	aija
戨	aijh
一点点	aiji
正品	aijj
下颚	aijj
下跌	aijm
歌	aijr
下图	aijr
一点儿	aijr
正中	aijv
正题	aika
无上光荣	aike
正畸	aikg
一步步	aiki
政界	aiko
正是	aikv
正常	aikw
政党	aikw
正当	aikx
正电	aikz
下周	ailb
下同	aild
下贱	ailh
与此同时	ailk
下岗	aill
下山	aill
政见	ailr
正骨	ailw
政	aim
下等	aimb
下手	aimd
下午	aime
正午	aime
下垂	aime
政策	aimf
正告	aimj
丁种	aimj
政敌	aimm
下笔	aimm
政	aimo
正气	aimy
政委	aimz
万紫千红	aimz
正值	aine
政体	ainf
正像	ainr
正片	ainx
下颌	aioa
政企	aioi
蘷	aior
夒	aior
下令	aiow
政令	aiow
下钻	aipi
下盘	aipl
正反	aipx
下肢	aiqe
颪	aiqi
下风	aiqo
下月	aiqv
正月	aiqv
茍	airj
下旬	airk
正负	airl
正比	airr
羐	airs
政务	airy
鴊	airz
下部	aisj
正误	aisj
下课	aisk
下调	aisl
下放	aism
正义	aiso
正文	aiso
下设	aisq
政变	aisx
下方	aisy
下头	aitg
下痢	aitm
政府	aitn
下次	aitr
下情	aiuc
丁类	aiug
丁烯	aiuo
正火	aiuo
丁烷	aiuw
鄢	aiuy
正数	aiuz
政法	aivb
画蛇添足	aivj
下滑	aivl
下海	aivm
下浮	aivp
正派	aivp
下游	aivs
下沉	aivw
政治	aivz
正宁	aiwa
正宗	aiwb
正割	aiwc
下定	aiwd
正定	aiwd
下述	aiwf
下达	aiwg
政审	aiwk
正视	aiwl
正逢	aiwr
政客	aiwr
正道	aiwu
下边	aiwy
丁字	aiwy
忑	aiwz
正安	aiwz
下马	aixa
下层	aixb
下臂	aixj
下届	aixk
下属	aixm
政局	aixy
邒	aiy
鄢陵	aiyb
乤	aiyd
下巴	aiyi
正阳	aiyk
下降	aiyr
下陷	aiyr
正弦	aiys
下弦	aiys
下限	aiyx
丐	aiz
政绩	aizc
正如	aizj
下台	aizj
政纲	aizl
焉能	aizq
正统	aizs
焉	aizu
下发	aizv
正经	aizx
正好	aizy
下级	aizy
丏	aizy
下乡	aizz
可	aj
哥	aja
副刊	ajae
哥哥	ajaj
融融	ajaj
豌豆	ajaj
可恶	ajak
一口气	ajam
一国两制	ajam
死路一条	ajar
两国政府	ajat
一呼百应	ajat
正中下怀	ajau
两口子	ajay
可巧	ajba
歌坛	ajbb
可喜	ajbj
吞吐量	ajbk
副井	ajbn
歌声	ajbx
可耻	ajci
副职	ajcj
两国间	ajct
可取	ajcx
副团长	ajdc
囊括	ajdm
一团糟	ajdu
豆芽	ajeh
豆苗	ajek
可获	ajeq
可敬	ajer
囊	ajer
嚢	ajer
豆蔻	ajew
百叶窗	ajew
豉	ajex
歌艺	ajey
副本	ajfa
副根	ajfx
歌厅	ajga
一哄而起	ajgb
一蹶不振	ajgd
一哄而散	ajge
橐	ajgf
百听不厌	ajgg
可不	ajgi
可否	ajgj
开国大典	ajgl
可有	ajgq
一蹴而就	ajgs
无足轻重	ajhm
囊	aji
蠹	ajii
叓	ajix
可贵	ajja
可口	ajja
可因	ajjd
可鄙	ajje
櫜	ajjf
可贵	ajji
副品	ajjj
歌唱	ajjk
疈	ajjk
歌喉	ajjn
歌咏	ajjs
副	ajk
可由	ajki
畐	ajki
副	ajkk
歌曲	ajkk
歌星	ajkm
鶝	ajkr
副业	ajku
可是	ajkv
逼	ajkw
可悲	ajkw
融	ajl
鬲	ajld
鞷	ajle
鬴	ajlf
融	ajli
可见	ajlr
鹝	ajlr
鷊	ajlr
可用	ajlv
可卸	ajma
歌手	ajmd
副手	ajmd
歌舞	ajme
无中生有	ajmg
可靠	ajmj
可知	ajmj
可看	ajml
可笑	ajmm
可先	ajmr
豆科	ajmt
可我	ajmv
可气	ajmy
可使	ajna
可供	ajne
豍	ajne
融化	ajnr
可信	ajns
万事顺意	ajns
可他	ajnv
吏	ajo
融合	ajoa
融会	ajob
可行	ajoi
一路领先	ajom
鬷	ajor
吏	ajos
栆	ajot
副食	ajox
两国人民	ajoy
歌颂	ajoz
可爱	ajpw
囊胚	ajqg
歌	ajr
一路上	ajri
可乐	ajrk
融解	ajrl
可疑	ajrm
鬺	ajro
可比	ajrr
豌	ajry
可读	ajse
可亲	ajsf
可谓	ajsk
可调	ajsl
歌谣	ajsp
可望	ajsq
可变	ajsx
歌词	ajsy
豆腐	ajtn
融资	ajtr
武器装备	ajtr
豆浆	ajtr
豆	aju
豆	ajua
豇	ajub
可惜	ajue
頭	ajug
副总	ajuj
可判	ajuk
剅	ajuk
两国关系	ajum
毭	ajum
可怕	ajun
可怜	ajuo
一鸣惊人	ajuo
豆粒	ajus
可憎	ajuu
囊中羞涩	ajuv
逗	ajuw
可恨	ajux
豏	ajux
郖	ajuy
正因为如此	ajuz
豆渣	ajvf
豆油	ajvk
豆沙	ajvk
融洽	ajvo
可达	ajwg
可视	ajwl
两国之间	ajwt
可逆	ajwu
歌迷	ajwu
融通	ajwx
副官	ajwy
无固定收入	ajwz
可心	ajwz
事	ajx
歌剧	ajxe
可观	ajxl
开足马力	ajxy
豆子	ajya
鬸	ajyk
副翼	ajyy
翮	ajyy
蟗	ajzi
可以	ajzo
可能	ajzq
吞吐能力	ajzy
可出	ajzz
更	ak
严于	akad
画刊	akae
更正	akai
严正	akai
无影无踪	akaj
百日咳	akaj
画画	akak
两日内	akal
一览无余	akao
无时无刻	akas
一日游	akav
垩	akb
晋城	akbh
天时地利	akbm
天时地利人和	akbm
正常工作	akbn
更替	akbo
更动	akbz
万里长城	akcb
亚非拉	akcd
更长	akch
正当理由	akck
万里长征	akco
恶毒	akcz
严打	akda
百里挑一	akda
画押	akdk
夏时制	akdm
更换	akdr
専	akds
画报	akdy
亚当斯敦	akes
恶霸	akfe
严禁	akff
严整	akfj
恶棍	akfk
严酷	akfm
严格	akfr
正当权益	akfu
更要	akfv
严厉	akga
更大	akgd
画面	akgj
百思不得其解	akgo
更有	akgq
百思不解	akgr
亚太	akgs
形影不离	akgs
一尘不染	akgv
顶尖级	akgz
亚东	akhk
亚欧	akho
一辈子	akhy
恶战	akij
画图	akjr
晋中	akjv
晋	akk
曺	akk
亚非	akkc
恶果	akkf
戬	akkh
更少	akkm
恶劣	akkm
更小	akko
严明	akkq
更是	akkv
鄑	akky
画幅	akla
严峻	aklz
严	akm
一览表	akmc
副省长	akmc
更少的	akmd
晋升	akme
严重	akmk
万水千山	akml
画笔	akmm
更稳	akmr
正常秩序	akmt
一星级	akmz
更使	akna
与日俱增	aknb
恶臭	akng
亚伦	akno
恶化	aknr
更低	aknr
画像	aknr
与时俱进	aknw
无师自通	aknw
画片	aknx
更	ako
严惩	akoa
开明人士	akob
一小撮	akod
无业人员	akoj
一小时	akok
甦	akom
更	akos
开小差	akou
严令	akow
郠	akoy
亚铁	akpm
画册	akqq
更名	akrj
严冬	akrt
更多	akrv
求	aks
严谨	akse
更新	aksf
更高	aksj
恶意	aksk
更衣	aksr
亚麻	aktf
恶魔	aktf
恶疾	aktm
画廊	akts
更应	aktv
亚	aku
一星半点	akui
恶性	akum
更为	akuv
更快	akux
画卷	akuy
画法	akvb
晋江	akvb
于是乎	akvm
无党派人士	akvo
无党派爱国人士	akvp
亚洲	akvv
更深	akvw
可是那	akvy
恶	akw
晋宁	akwa
亚运	akwb
严守	akwd
严寒	akwe
画家	akwg
亚军	akwh
正常运转	akwh
更迭	akwm
死里逃生	akwm
正常化	akwn
平易近人	akwo
严实	akwt
无党派	akwv
严密	akww
恶	akwz
恶心	akwz
恵	akwz
画展	akxe
畱	akxk
武当山	akxl
正当年	akxm
严肃	akxn
开曼群岛	akxr
更加	akyj
更改	akym
严办	akyo
下里巴人	akyo
严防	akys
恶习	akyt
画	akz
无照经营	akze
正电荷	akze
画	akzi
更是如此	akzi
更能	akzq
叀	akzs
干电池	akzv
更好	akzy
晋级	akzy
正电子	akzy
两	al
丙型	alae
两可	alaj
两百	alan
两列	alar
再	alb
两款	albb
副署长	albc
两项	albg
再来	albk
天罗地网	albl
两者	albm
百岁老人	albo
两地	albv
严峻考验	albx
再起	alby
再三	alcd
再现	alcv
两鬓	alcw
一网打尽	aldx
再植	alfe
两栖	alff
丙酮	alfl
两枚	alfm
丙醇	alfs
两样	alfu
两极	alfy
两套	algc
再不	algi
两面	algj
两成	alhv
巿	ali
帀	ali
两点	alij
形同虚设	alis
两国	aljc
两只	aljo
万用电表	alkc
丽水	alkv
两党	alkw
丽	all
两岸四地	allb
丽	alld
两岸	allg
再则	allk
両	alll
彨	allp
再见	allr
鹂	allr
麗	allt
两用	allv
逦	allw
两眼	allx
郦	ally
婯	allz
再生	almc
两手	almd
两千	alme
两种	almj
丙种	almj
两利	almk
两年	almm
两便	alna
两侧	alnl
两败俱伤	alnn
两份	alno
再版	alnp
两倍	alns
丙	alo
再会	alob
丙	alod
两	aloo
兩	aloo
两个	alov
两岸人民	aloy
邴	aloy
一瞬间	alpt
丙肝	alqa
两脚	alqb
一帆风顺	alqn
两条	alrf
可见度	alrt
	alrz
鳾	alrz
天赐良机	alsf
两端	alsl
再议	alss
两旁	alsu
再说	alsv
丙方	alsy
两头	altg
两广	altg
两间	altk
彲	altp
再次	altr
鸝	altr
两次	altr
再度	altv
邐	altw
酈	alty
两半	alub
两米	aluf
丙类	alug
两性	alum
一睹为快	aluu
天网恢恢	aluu
丙烷	aluw
丽江	alvb
一败涂地	alvb
两湖	alve
两淮	alvn
迊	alw
再审	alwk
再造	alwm
两道	alwu
两边	alwy
两难	alxn
无助于	alya
一目了然	alyr
两院	alyw
两翼	alyy
副县长	alzc
一见如故	alze
两眼发黑	alzl
丙纶	alzo
再婚	alzr
两级	alzy
再出	alzz
严重	am
无敌于天下	amaa
天气形势	amad
无利可图	amaj
无私无畏	amak
一年一度	amat
一千五百米	amba
一等功	ambb
平等互惠	ambf
一等品	ambj
平等互利	ambm
一等奖	ambt
政策规定	ambw
无私奉献	amce
一生中	amcj
再生产	amcs
严重事故	amde
严重损失	amdm
一笔抹杀	amdo
亚穆苏克罗	amee
歌舞厅	ameg
歌舞团	amej
瓦利斯和富图纳	amem
一千米	ameu
一筹莫展	amex
歌舞剧	amex
百年树人	amfo
丁氰橡胶	amfq
政策性	amfu
严重破坏	amgb
一毛不拔	amgd
百看不厌	amgg
残缺不全	amgo
百年大计	amgs
百年不遇	amgw
一年到头	amht
天鹅湖	amhv
天鹅绒	amhz
副委员长	amjc
一气呵成	amjh
可靠性	amju
严重影响	amkj
顶刮刮	amkm
严重性	amku
再制品	amlj
豆制品	amlj
一年四季	amlm
一笑置之	amlw
歌舞升平	amma
万年青	ammc
更年期	amme
一年级	ammz
与生俱来	amnb
可靠保证	amns
万籁俱寂	amnw
开篇伊始	amnz
可靠人士	amob
严重后果	ampk
严重错误	amps
一年比一年	amra
一年多来	amrb
一笔勾销	amrp
天鹅湖	amrv
严重危害	amrw
政策方针	amsp
平等竞争	amsr
副科长	amtc
一年半载	amue
亚特兰大	amug
一知半解	amur
政策法规	amvb
死气沉沉	amvv
一气之下	amwa
可乘之机	amwf
百年之后	amwp
无稽之谈	amws
两手空空	amww
可乘之隙	amwy
百年之好	amwz
副秘书长	amxc
天气预报	amxd
一箭双雕	amxl
一物降一物	amya
一季度	amyt
一系列	amza
丁种维生素	amzm
百	an
平白无故	anae
夏天	anag
无依无靠	anam
百依百顺	anan
皕	anan
更何况	anat
百万	anay
卅	and
丌	and
百事	andj
无偿援助	andl
夏朝	anek
干什么	anem
无休止	anfi
一体化	anfn
干休所	anfp
百货大楼	angf
无伤大雅	angh
奡	angn
夏至	anhb
副代表	anhc
开倒车	anhh
戛	anhm
一代人	anho
丣	anhx
夏邑	anjy
百	ank
夏日	anka
百日	anka
百里	ankb
一息尚存	ankg
开白条	ankr
百川归海	ankv
夏县	anlz
两件套	anmg
夏种	anmj
副作用	anml
百年	anmm
百科	anmt
副伤寒	anmw
恶作剧	anmx
夏季	anmy
无息贷款	annb
百货	annr
百倍	anns
哥伦布	anog
百余	anom
夏令	anow
百分	anoy
百货公司	anoy
百般	anpq
夏	anr
哥伦比亚	anra
夏	anrs
百货店	anrt
百色	anry
鄾	anry
百货商场	ansb
百计	anse
百部	ansj
一代新人	anso
殡仪馆	anso
可信度	anst
百货商店	anst
一位数	ansu
开信刀	ansy
夏装	antb
百米	anuf
夏粮	anus
百兆	anvr
百家	anwg
戞	anwh
一代宗师	anwk
天作之合	anwo
天伦之乐	anwr
憂	anwr
无价之宝	anww
平假名	anxr
夏收	anzm
百姓	anzm
百出	anzz
丈	ao
百合花	aoae
一个一个	aoao
一往无前	aoau
万众一心	aoaw
与会者	aobb
副会长	aobc
与会国	aobj
丈夫	aobo
一会儿	aobr
无人区	aodh
残余势力	aody
哥德堡	aoen
死得其所	aoep
两全其美	aoeu
下个世纪	aoez
一刹那	aofy
无微不至	aogh
无人不晓	aogk
与众不同	aogl
无人不知	aogm
天公不作美	aogn
无往不胜	aogq
严惩不怠	aogz
可行性	aoiu
平行线	aoiz
丈量	aoka
下个星期	aoke
顶得住	aokn
平行四边形	aolw
正人先正己	aoma
平行符号	aomj
无人知晓	aomk
平分秋色	aomr
下个季度	aomt
与会代表	aonc
万念俱灰	aong
天公作美	aonu
政企分开	aooa
壐	aoob
璽	aooc
蠒	aooi
覼	aool
爾	aooo
鸍	aoor
邇	aoow
一会儿工夫	aorb
平衡表	aorc
平衡木	aorf
丈	aos
无从说起	aosb
平行六面体	aosg
两个文明建设	aosk
与人方便	aosn
画饼充饥	aoso
开创新局面	aosx
无人问津	aotv
一分为二	aoub
与人为善	aouu
一往情深	aouv
一个样	aovf
一个是	aovk
一个个	aovo
下个月	aovq
百分之百	aowa
副馆长	aowc
夏令营	aowe
万全之策	aowm
无人过问	aowt
一念之差	aowu
一个又一个	aoxa
副食品	aoxj
一个劲儿	aoxr
副食店	aoxt
正人君子	aoxy
百分百	aoya
百分表	aoyc
百分点	aoyi
百分制	aoym
一分钱	aoyp
百分比	aoyr
百分率	aoys
可分为	aoyu
百分数	aoyu
两分法	aoyv
百分之	aoyw
无人驾驶飞机	aoyx
万公里	aozk
一贫如洗	aozv
融会贯通	aozw
一般	ap
万般无奈	apag
一错再错	apap
正反两方面	apas
开后门	apat
万金油	apav
天翻地覆	apbf
一般来说	apbs
一般地说	apbs
无所事事	apdd
百般挑剔	apdk
一般的说	apds
平铺直叙	apeo
一盘散沙	apev
开采权	apff
无所不在	apgg
无所不有	apgg
无所不至	apgh
一钱不值	apgn
无所不包	apgr
一般而言	apgs
无所不为	apgu
无所顾忌	apgy
一反常态	apkg
一番话	apks
无所畏惧	apku
一盘棋	aplf
一针见血	aplm
一般见识	apls
残兵败将	aplt
无所用心	aplw
一般等价物	apmn
正镶白旗	apns
无所作为	apnu
可锻铸铁	appp
一般人	apqo
一般性	apqu
一般说来	apsb
无所谓	apvs
无所适从	apwo
一丘之貉	apwp
一锤定音	apws
百般刁难	apyx
一月	aq
更胜一筹	aqam
一犯再犯	aqaq
两脚规	aqbb
下脚料	aqbu
两脚架	aqby
丁腈橡胶	aqfq
一脉相承	aqfx
无风不起浪	aqgb
无独有偶	aqgn
